final_text,sentiment
not good broken middleread,1
wastage moneyread,1
local productsread,1
best headphone life good sound quality good bass rareread,0
use month no problem sound body excellent,0
nice product superread,0
love look premium sound bass quality amazing read,0
best head ever dont think buy thsi im pretty sure love read,0
headphone not workingread,1
look awesome sound quality good like productread,0
flipkart teammy headphone not working properly aux cable not connecting sound song disturbing connecting headphone warranty contact number customer care boat company always busy unable connect im disappointed help,1
awesome product happy buy every thing great fitting not goodread,0
good product thanks boatread,0
product good get pain ear,1
used calling voice not hearing clearing song movie good priceread,1
awesomeread,0
fabulous headphonesread,0
good gamingread,0
u cannot use hour battery backup worst u charge daily base think twiceread,1
perfect st within yr bluetooth functioning,1
nice product value moneyread,0
good liked boatrockrzfull volumeheavenread,0
nyc boat withread,0
rating using month best battery backup sound quality good since no trouble except design not compatible using continuouslyread,0
unbelievableread,0
really impressed one purchased big billion day sale thought one expect rupee headphone since bluetooth version thought sound quality worst no wrong bluetooth well aux cable good provides audio quality noticed distance phone headphone exceeds metre sound quality becomes something terrible another one con,0
voice breakingread,0
feeling happy buy product quite awesome way music quality like excellentread,0
using headphone last three month realise thing sound quality great little issue ear pain begining use thatread,1
cord stopped working within month purchaseread,1
amazing headphone boat rockerz bluetooth headphonescomfortable,0
aws separate music beat sound separatly pleasant hear high thump music like jazz rock music bought flipkart day saleread,0
bass good sound quality also not comfortable long hour get sweat ear wearing long time want listen song le hr,0
good one sometimes problem bluetooth connectivity work,0
value money nice use awesome music loversread,0
best product using month work perfectly batter backup still,0
bass not good r earphone better head phone battery backup good another advantage bluetooth senhiser perform better quality timesread,1
connect listen otherworld mostly listen bollywood amazing like theater sound im happy,0
review one year feature awesome one issue want discus month one year head strip loose grip read,0
microphone worst audio good replaced one time still worstread,1
super read,0
awesome product super quality clear n high volume sound change song cushion quality goodread,0
product awesome really enjoyed hearing backup excellent base issue hearing vedios like stream low volume probably due wireless condition abov no break wonderful experienceread,0
super product nice comfortable hear music good bassread,0
worth low cost chennairead,0
best quality problem using time start pain expectedread,0
osm producti want buy sale bought price good fit quality also good base,0
super cool product awesome sound quality build quality nicei liked band little bit nice product bought thanks flipkartread,0
sound goodbut band delicate break easilyread,1
writting review year use one best product still no issue product year battery backup,0
nice product battery service bohat hard money save good productread,0
delivery time amazing audio quality good bass good design soft material used not harm ear must buy music,0
headphone good design not good headphone pain full tight fitting bad thing compress ear headphone value money purchased r sale super,1
good product nice sound quality read,0
nice sound quality nice battery backup read,0
get headache use hourread,1
bass goodread,0
good time calling voice bad like lab dabread,1
good bass,0
not comfortable hurt minread,1
bad outer material,1
headphone perfect cant use time ear start paining due,1
everything amazing not comfortable compact like sony,0
much gud sound battery backupread,0
good music cushion r smallread,0
got best product extra bass superb sound quality awsome design good service thankyou flipkart read,1
ok iam happy thisread,0
loved best headphone ever much better brand go without thinking nd enjoy ur fav,0
bluetooth headphone also wireless headphoneit amazing battery stunning design looksit high beast performance high quality bass one issue headphone u wear hour ear start paining not big issue price range headphone value money got stunning satisfactioni liked headphone much dont word explain,0
cable not good worst bluetooth,1
good headphone sound quality not good also not comfortable ear got best headphone range suggest buy got rangeread,0
nice head phone red n black combination look good sound quality nice impressive bass not good calling purpose poor mic person opposite side cannot hear voice properly good battery backup headphone tight ear difficult use longer,0
quite punchy decent bass better jbl glide actually quite loud mic bakwas overall good value,0
verry badi couldnt expect thing brand day usage connect bluetooth left side working right side negligible voice comming connect using wire working fine connecting bluetooth still facing,1
year using still nice sound effect great head phone compare others year later bluetooth not work connected wireread,0
great sound fitting comfortableread,0
value money happy read,0
best everread,0
super qualityread,0
mindblowing reception bought son order hand free line class also no noise technology plus use lazy moment well good product beyond,0
superb bassread,0
nice product price range specially due wired wireless usage,0
produce fast also first hesitated invest k company never heard trust gonna love bluetooth well equipped lot sound good noise cancellation also best get loved read,0
awesome little bit pain head haur continue usingread,0
start hurting ear within min get well feel comfortable week,0
tightly fit not go itread,1
nice quality expected delived fast happy produch nice not badread,0
awesome bass sound qualityi used many headphone like jbl skull candy boat another,0
cant bear pain ear minute use feel like pressing ear aching,1
bluetooth calling badread,1
look stylish build quality good bass not great bluetooth connectivity poor sound quality decent overall nice product read,0
headphone good regular use cant use hour cusion quality not decent price range awesome better zebronics zeb thunder infinity jbl driver bigread,0
disappointed offer new year regular price sound quality also not good no bass,1
great satisfied battery look bass music really faru hread,0
outstanding sound nd bassread,0
aux cable worstread,1
nice sound quality excellent clear bassread,0
sound quality excellent painful,0
within month purchase aux cable not working properly im able hear sound one side fortunately bluetooth working properly use,1
kadak productpurchase without delayread,0
good product value money read,0
awesome product perfectread,0
dont buy u want pubg,1
good product amazing waww greatread,0
excellent product affordable price best bassdepth sound liked,0
waste money mic not working properlyread,1
best product got delivery day great packing bass good ordered total boat rockerz big billion day offer totally satisfied product thank youread,0
no doubt boat company headphone best quality sound pretty good build battery lasting long expected new extremely tight time wearing may become normal loved color given option good investment thinking fancy headphone earsread,0
good sound quality comfort blootooth rang low distance increase sound lagging good prize buying freedom,0
gud soundread,0
nice proudect nice sound pubgread,0
sound quality bass design headphone design not good ear minute ear gonna painingread,0
sound quality good bt wireless connectivity not good mic not working properly even catch outer noice,1
better headphone sound quality niceread,0
headphone reputed brand sound quality good battery backup ok build quality not good feel flimsy light completely made plastic also bit uncomfortable ear might experience pain beginning using pain reduce still feel uncomfortable wearing gave star sound quality build quality bad using model boat,1
suppread,0
calling not working good,0
good choice either wireless,0
one besr headset price rangeread,0
bear minute painfullread,1
good listening song watching video average speaking call no noise cancellationread,1
two month one speak not workingread,1
like headphone not comfortableread,0
look wise bestread,0
average product job long term performance decrease term battery sound qualityread,1
six month use battery life super sound quality good overall quality awesome time bluetooth connectivity failure boat rocker truly rocking read,0
sound quality super extra bass super happy buy,0
month battery backup minutescharging indicator light not working worthlessnot satisfiedread,1
bad bluetooth function stopped working month dont buy waste moneyread,1
everything wont feel good long time using feel discomfort ear half hour usage mic work bluetooth not wired mic also okay,1
microphone not betweenread,1
music really bad phone call no service,1
super best battery backupread,0
delivery fast headphone amazingread,0
perfect rupee good bass quality good feel sound quality awesome not adjustable moving part thats fix people larger longer head size got problem,0
sound quality really nice deep bass battery backup longread,0
bass lover headphone much bass no treble hope one day headphone come bass treble,1
awesome product got good sound build dynamic sound playing,0
sound qaulity normal lack clarity higher bass excellent one want sound clarity switch sennheiser cxs ive already used got better quality sound,1
good product amazingread,0
extremely extra bass wowread,0
